"AE","Load","Depth","PeakNumber","Source"
437.804897717652,1.27679699233952,2.187945256359,1,"Alumina 20N 20Nmin"
2521.47304957312,4.88013085913079,5.74958978572198,2,"Alumina 20N 20Nmin"
1852.837063245,5.13735432356391,5.95681583109499,3,"Alumina 20N 20Nmin"
3374.87807887,5.6981443781634,6.36699309048097,4,"Alumina 20N 20Nmin"
2107.55410426062,5.98900266015471,6.60225904074798,5,"Alumina 20N 20Nmin"
654.210781506715,6.00107250289908,6.61250068179598,6,"Alumina 20N 20Nmin"
700.05428736609,6.35773823045104,6.85950098445898,7,"Alumina 20N 20Nmin"
1684.69436304968,7.77793861626417,7.75069364822798,8,"Alumina 20N 20Nmin"
1993.47182887,9.35324804561141,8.65374434790698,9,"Alumina 20N 20Nmin"
6390.66201441687,10.0579189507257,9.04537724082999,10,"Alumina 20N 20Nmin"
718.51327174109,10.3101045447057,9.202477428469,11,"Alumina 20N 20Nmin"
26084.1766628544,10.3201214810654,9.21495567478098,12,"Alumina 20N 20Nmin"
501.386623791871,11.0046201574094,9.59720174760099,13,"Alumina 20N 20Nmin"
232.594692639527,13.2110114131738,10.6021192541,14,"Alumina 20N 20Nmin"
8052.68496363562,15.2698086004343,11.473175852937,15,"Alumina 20N 20Nmin"
3059.53091090125,15.8600679388222,11.758244974945,16,"Alumina 20N 20Nmin"
544.509243420777,18.8655285301655,12.903122113139,17,"Alumina 20N 20Nmin"
1264.08486597937,19.912553846174,13.296991399272,18,"Alumina 20N 20Nmin"
7081.47929169816,2.35157162338024,3.918550317609,1,"Alumina 20N 20Nmin"
238.88017060441,3.35173539169517,4.748773996518,2,"Alumina 20N 20Nmin"
252.502546092691,3.84323533316491,5.11949834491898,3,"Alumina 20N 20Nmin"
1981.47807099504,4.32236348205688,5.44213074398201,4,"Alumina 20N 20Nmin"
9339.02763154191,4.43401213656125,5.544733023655,5,"Alumina 20N 20Nmin"
789.613141795816,6.24743783657609,6.62411719913899,6,"Alumina 20N 20Nmin"
15550.6350534169,7.35438800012188,7.210828191253,7,"Alumina 20N 20Nmin"
1067.4025094716,7.54254067340887,7.35382373104198,8,"Alumina 20N 20Nmin"
444.664899608316,9.12307699371502,8.10224667640898,9,"Alumina 20N 20Nmin"
9986.39384247941,13.7255685588554,10.03967792395,10,"Alumina 20N 20Nmin"
11324.7483346669,14.8504298822421,10.46641232468,11,"Alumina 20N 20Nmin"
592.40800263566,15.0241503014464,10.569969153337,12,"Alumina 20N 20Nmin"
5786.14335419816,17.4882832756125,11.384342847069,13,"Alumina 20N 20Nmin"
581.715655744398,1.5524644654823,3.06532976049198,1,"Alumina 20N 20Nmin"
1158.97841209206,2.72128272045812,4.18284228067699,2,"Alumina 20N 20Nmin"
414.940265119398,3.21939924058387,4.60749737472099,3,"Alumina 20N 20Nmin"
270.952563703382,3.41504522398968,4.767405777486,4,"Alumina 20N 20Nmin"
331.858233869398,4.20677448175333,5.306939733756,5,"Alumina 20N 20Nmin"
979.747088849869,5.96890893207449,6.339675283742,6,"Alumina 20N 20Nmin"
1103.21181052956,6.00373254492065,6.37086607277499,7,"Alumina 20N 20Nmin"
811.363299787367,6.19389375382115,6.487213659997,8,"Alumina 20N 20Nmin"
718.980182111585,6.22976303164461,6.512888343528,9,"Alumina 20N 20Nmin"
242.450396955335,7.21124855164867,7.00932587527899,10,"Alumina 20N 20Nmin"
7339.79506248268,8.46856703835014,7.61429682622898,11,"Alumina 20N 20Nmin"
936.247210920179,9.15391588099144,7.93682290466998,12,"Alumina 20N 20Nmin"
645.364093244398,9.3950223564641,8.05014015795498,13,"Alumina 20N 20Nmin"
739.851825177992,9.86367634396225,8.25251519216999,14,"Alumina 20N 20Nmin"
906.316180646739,9.97653683559731,8.31482582302198,15,"Alumina 20N 20Nmin"
259.483783185804,10.1409312932347,8.40385590773698,16,"Alumina 20N 20Nmin"
736.010760724867,10.1653290152626,8.418508997201,17,"Alumina 20N 20Nmin"
434.655108869398,11.6898864658292,9.02794410552499,18,"Alumina 20N 20Nmin"
582.922015607679,12.2129171065446,9.25817970512898,19,"Alumina 20N 20Nmin"
8250.21107810768,14.8147415221129,10.250715357666,20,"Alumina 20N 20Nmin"
3595.60267967018,15.3015259599374,10.476973971851,21,"Alumina 20N 20Nmin"
606.473712385023,19.0971472133334,11.74035817872,22,"Alumina 20N 20Nmin"
2951.21986717018,19.1797870129223,11.778972517501,23,"Alumina 20N 20Nmin"
2424.21278709206,19.2074501804302,11.813817984511,24,"Alumina 20N 20Nmin"
2290.25917381081,19.3774105644971,11.90887192088,25,"Alumina 20N 20Nmin"
1437.20082420143,19.4563828668006,11.94917104694,26,"Alumina 20N 20Nmin"
231.00847374903,1.75457425284749,3.22193142664398,1,"Alumina 20N 20Nmin"
1374.56368004786,2.74754619290083,4.14280937494098,2,"Alumina 20N 20Nmin"
1126.54927575099,3.82637527393923,4.97497499211599,3,"Alumina 20N 20Nmin"
447.843709344733,4.35429391113571,5.32307962878798,4,"Alumina 20N 20Nmin"
2127.79732262599,4.5097468858946,5.44412999719199,5,"Alumina 20N 20Nmin"
236.253011102546,4.59924765736392,5.50454513083199,6,"Alumina 20N 20Nmin"
2876.61739098536,5.216525054663,5.888089205401,7,"Alumina 20N 20Nmin"
2157.31636559474,6.07481172781695,6.386893466093,8,"Alumina 20N 20Nmin"
1000.26753746974,6.09912524257442,6.40680079651599,9,"Alumina 20N 20Nmin"
462.589986200202,6.82264082164007,6.79103134424699,10,"Alumina 20N 20Nmin"
3920.66548668849,7.04710384209636,6.91714794025998,11,"Alumina 20N 20Nmin"
1707.73311364161,7.08671470148409,6.97026207352499,12,"Alumina 20N 20Nmin"
927.257893915048,7.7245015751134,7.30544604172599,13,"Alumina 20N 20Nmin"
1579.0474446963,7.75893726394464,7.33209693181698,14,"Alumina 20N 20Nmin"
2460.61397301661,7.87505591142588,7.41295900032799,15,"Alumina 20N 20Nmin"
1300.30098473536,9.26022731920792,8.05820406267298,16,"Alumina 20N 20Nmin"
1951.90596520411,10.9904205529033,8.807939177511,17,"Alumina 20N 20Nmin"
14693.9713948916,16.9430475626461,11.077995213376,18,"Alumina 20N 20Nmin"
1319.78658043849,19.2099637378066,11.889081695829,19,"Alumina 20N 20Nmin"
651.617085809577,19.4819818186218,11.995025942791,20,"Alumina 20N 20Nmin"
473.667164419452,2.18785056007161,3.70981961849901,1,"Alumina 20N 20Nmin"
2282.58592662649,3.37389253391808,4.70359384906601,2,"Alumina 20N 20Nmin"
1095.75645885305,4.44353418493146,5.43198751870301,3,"Alumina 20N 20Nmin"
628.170216177264,4.73517667553271,5.63037819578099,4,"Alumina 20N 20Nmin"
414.780323599139,6.16598901181889,6.44178442432499,5,"Alumina 20N 20Nmin"
2729.36327037649,6.85457471737558,6.80232353710201,6,"Alumina 20N 20Nmin"
2059.65892467336,6.97552823400649,6.89338497259399,7,"Alumina 20N 20Nmin"
578.678639028827,7.25748636354314,7.04204417634,8,"Alumina 20N 20Nmin"
440.463673208514,9.24466408917483,7.95608479471599,9,"Alumina 20N 20Nmin"
375.431934927264,11.7893979898405,9.043281205798,10,"Alumina 20N 20Nmin"
319.154163931171,12.3658411592002,9.284291145303,11,"Alumina 20N 20Nmin"
601.555164907733,16.0291112699565,10.65339887539,12,"Alumina 20N 20Nmin"
681.814259146014,16.4360973729683,10.800628046992,13,"Alumina 20N 20Nmin"
799.039051626483,16.5640084851262,10.872079289129,14,"Alumina 20N 20Nmin"
15071.8557020171,17.8005789684782,11.29854937141,15,"Alumina 20N 20Nmin"
1320.54076061086,17.9745619224956,11.441369776205,16,"Alumina 20N 20Nmin"
451.121876333514,18.1624243543613,11.517372329589,17,"Alumina 20N 20Nmin"
273.986775015155,18.3340897522869,11.583452289744,18,"Alumina 20N 20Nmin"
363.126148794452,19.0865353532278,11.825739811623,19,"Alumina 20N 20Nmin"
5610.78783092336,19.2468940880754,11.896934770935,20,"Alumina 20N 20Nmin"
890.414259469638,1.16784203484354,2.536214233962,1,"Alumina 20N 20Nmin"
738.742811715731,1.54227514095848,3.00548619390901,2,"Alumina 20N 20Nmin"
233.365309274325,3.11262283602862,4.45971577676301,3,"Alumina 20N 20Nmin"
638.303236520419,3.22547499258228,4.549906793237,4,"Alumina 20N 20Nmin"
274.006758248934,3.88373925765354,5.03341879076601,5,"Alumina 20N 20Nmin"
9392.8787370087,3.91678730468458,5.07241638184399,6,"Alumina 20N 20Nmin"
939.89692548526,4.32719994808486,5.382657425758,7,"Alumina 20N 20Nmin"
334.340620553622,4.55195962364028,5.54861005846598,8,"Alumina 20N 20Nmin"
493.80988935245,5.52429206639393,6.12779756683901,9,"Alumina 20N 20Nmin"
2732.05110028995,7.61607505381228,7.23402048424799,10,"Alumina 20N 20Nmin"
3599.11775068058,7.80700699899952,7.36679989851001,11,"Alumina 20N 20Nmin"
539.919447457919,8.11021861549557,7.53026996603799,12,"Alumina 20N 20Nmin"
914.80543378604,8.53644298318927,7.741037366744,13,"Alumina 20N 20Nmin"
847.807997262606,12.7599898878251,9.59472948175099,14,"Alumina 20N 20Nmin"
458.241835153231,15.3739641926174,10.6088967262,15,"Alumina 20N 20Nmin"
2579.1531510712,16.4020445842098,11.000982978766,16,"Alumina 20N 20Nmin"
271.057753121981,17.5322374797971,11.414030734672,17,"Alumina 20N 20Nmin"
461.343519723544,17.5933788772284,11.444061989628,18,"Alumina 20N 20Nmin"
728.325453317294,18.336630325482,11.702370531421,19,"Alumina 20N 20Nmin"
252.403517282138,18.3472346788364,11.709570227912,20,"Alumina 20N 20Nmin"
2039.51234015023,1.76394728931408,3.26631205979402,1,"Alumina 20N 20Nmin"
679.474071107259,2.06719089320355,3.57995333551301,2,"Alumina 20N 20Nmin"
796.385570130697,2.78119341460032,4.21640535497201,3,"Alumina 20N 20Nmin"
1673.10816534554,5.38350665261558,5.98547739359302,4,"Alumina 20N 20Nmin"
754.696055970541,6.41734474800427,6.569766063608,5,"Alumina 20N 20Nmin"
811.352122865072,6.57599965393352,6.66759316743301,6,"Alumina 20N 20Nmin"
11946.3226428846,6.58751728441495,6.67844167088901,7,"Alumina 20N 20Nmin"
992.828380189293,7.06787844787383,6.95786385151601,8,"Alumina 20N 20Nmin"
328.020030579916,8.73625307415324,7.767379735839,9,"Alumina 20N 20Nmin"
11184.2083850721,9.78654220222368,8.256292810264,10,"Alumina 20N 20Nmin"
301.859752259603,12.501039987826,9.40223434582202,11,"Alumina 20N 20Nmin"
571.509593568197,13.1681411445294,9.66128721553901,12,"Alumina 20N 20Nmin"
227.980388245931,15.2247589832565,10.444420920501,13,"Alumina 20N 20Nmin"
3432.63270147835,15.3301765787404,10.490574287209,14,"Alumina 20N 20Nmin"
3934.21302374398,15.3460720663266,10.517084875702,15,"Alumina 20N 20Nmin"
6482.1966663221,16.837251603431,11.057839480939,16,"Alumina 20N 20Nmin"
1270.99476202523,16.8540285367432,11.082504706147,17,"Alumina 20N 20Nmin"
618.819469056478,17.8020780377037,11.424276611936,18,"Alumina 20N 20Nmin"
1766.12413206068,2.25029155323068,3.744756185147,1,"Alumina 20N 20Nmin"
