"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
2,366.903259987055,733.806519974109,413.085755104242,4.38760607705116,"4 Peak 2"
6,1199.08557039449,7194.51342236697,1019.34952710022,0.984575623228541,"4 Peak 2"
6,1464.27547767084,8785.65286602503,312.532140675395,1.33266994344902,"4 Peak 2"
5,3278.7259211729,16393.6296058645,784.580803985403,1.70503915574681,"4 Peak 2"
4,503.388488557738,2013.55395423095,461.31991555969,0.947605508590959,"4 Peak 2"
26,952.358044827211,24761.3091655075,301.128529164652,2.40454630688098,"5 Peak 2"
5,664.357819159805,3321.78909579903,1115.27789972621,1.02203532049294,"5 Peak 2"
6,1184.07054519571,7104.42327117423,839.94137446003,1.59045108296009,"5 Peak 2"
6,948.653914578294,5691.92348746976,627.781096585129,0.955094021631597,"5 Peak 2"
5,593.443937223239,2967.21968611619,440.919376676363,1.03275146183322,"5 Peak 2"
