Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
7.49333333333333E-06, 228.453823673882, -0.000539654416988537, 0,119.501159667969
0.000666141666666667, 228.453322756942, -0.000535373631997745, 0.00125,126.144607543945
0.00133274833333333, 228.45246077755, -0.000622925734324447, 0.00625,125.515281677246
0.0019995, 228.450500665953, -0.000866207514493286, 0.0125,125.515281677246
0.00266631666666667, 228.448200133886, -0.000424886181582549, 0.02,123.736457824707
0.00333264333333333, 228.446232463417, -0.000595271623276902, 0.02875,119.121971130371
0.00399940833333333, 228.44450851704, -0.000881140764381359, 0.03625,121.737609863281
0.004666385, 228.443259405432, -0.00122065021115564, 0.0425,140.793197631836
0.00533274, 228.44301210047, -0.00148439696345322, 0.04875,140.793197631836
0.00599947833333333, 228.443271356978, -0.0016265598227937, 0.05625,116.273452758789
0.006666075, 228.443622928991, -0.00141707734486648, 0.0625,117.079490661621
0.00733264666666667, 228.44364733542, -0.00126870929724952, 0.07,119.25602722168
0.007999815, 228.443906757517, -0.00118213664568567, 0.07625,122.825897216797
0.00866615, 228.44482911773, -0.000671464796184864, 0.0825,122.825897216797
0.00933277, 228.446065098828, -0.00103518452691793, 0.08875,120.053848266602
0.00999956833333333, 228.447448033732, -0.000968059898524869, 0.09625,117.73558807373
0.010666135, 228.449702112818, -0.00103098173801736, 0.10375,115.251533508301
0.0113330033333333, 228.452799514643, -0.000847917433153099, 0.11,116.875343322754
0.0119996083333333, 228.458219053664, -0.00106918781898466, 0.11625,116.875343322754
0.0126662933333333, 228.463552530525, -0.000998643362378313, 0.125,137.153717041016
0.0133343216666667, 228.46894548694, -0.00115595096096898, 0.13,154.666946411133
0.013999465, 228.475100463494, -0.00127489948632447, 0.13625,156.077331542969
0.0146661066666667, 228.480707034792, -0.00155043564640828, 0.1425,151.733139038086
0.015332725, 228.485517938747, -0.00168072810198099, 0.15125,151.733139038086
0.0159994083333333, 228.490155278058, -0.00151355249904096, 0.1575,159.338241577148
0.0166660933333333, 228.495738785972, -0.00119855182122423, 0.16125,155.342849731445
