Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
7.61333333333333E-06, 249.743540858217, 0.000661309358702111, 0,105.045539855957
0.000665331666666667, 249.743712502834, 0.000429530500694725, 0,103.841621398926
0.00133105833333333, 249.742954404345, 0.000555494173695735, 0.00499999999999999,103.101165771484
0.00199816666666667, 249.742040284999, 0.00036987399718073, 0.01375,103.101165771484
0.00266447333333333, 249.741167745351, 0.000305909710036686, 0.02125,109.30004119873
0.00333109833333333, 249.740933444803, 0.000373757302098388, 0.02875,105.983505249023
0.003997705, 249.741574043851, 0.000394652752552115, 0.035,105.642433166504
0.00466444833333333, 249.743547582529, 7.01830503410482E-05, 0.0425,108.766822814941
0.00533110833333333, 249.74688934271, 0.000130477021832698, 0.04875,108.766822814941
0.00599853833333333, 249.751345130824, 0.000120535521187577, 0.05625,102.417892456055
0.00666460166666667, 249.755634733882, 4.22394539049286E-05, 0.06375,103.52042388916
0.00733110833333333, 249.760178606866, 6.66274092663829E-06, 0.07,106.454856872559
0.00799796, 249.765122767579, 8.22004467428515E-05, 0.07875,106.916786193848
0.008664455, 249.772676888959, -0.000173074731079847, 0.08625,106.916786193848
0.009497735, 249.77766480012, -0.000571360225615884, 0.0925,108.752136230469
0.0101645266666667, 249.782290577091, -0.000466462994493081, 0.1,111.009552001953
0.0108311783333333, 249.787001549943, -0.000876957875754538, 0.10625,102.101142883301
0.01149769, 249.791549669986, -0.000784205534607815, 0.1125,101.184501647949
0.012164655, 249.795292307641, -0.000670917724906655, 0.12,124.787979125977
0.0128315716666667, 249.799207812721, -0.000442116217371088, 0.125,124.787979125977
0.0134978933333333, 249.803584565236, -0.00066755039404748, 0.13125,103.910575866699
0.014164645, 249.80808016925, -0.000429215365368241, 0.14,107.906875610352
0.0148310016666667, 249.812625897374, -0.000771783158532116, 0.14625,97.8367767333984
0.0154979733333333, 249.817848957568, -0.0010059213980084, 0.15125,102.804756164551
0.0161649233333333, 249.822626949049, -0.00114266802935103, 0.15875,102.804756164551
0.0168311383333333, 249.827585842121, -0.00143674325826848, 0.16625,106.765060424805
0.0174980366666667, 249.83200150894, -0.00125745426380735, 0.17125,104.873405456543
0.0181643116666667, 249.836294271353, -0.0010715431019156, 0.17875,104.173614501953
0.01883113, 249.840725867772, -0.000975883906807775, 0.185,112.494682312012
0.0194978566666667, 249.845517265986, -0.00109497942477604, 0.1925,112.494682312012
0.0201658733333333, 249.850015946562, -0.000597515911844509, 0.1975,102.98265838623
0.0208311466666667, 249.854305604941, -0.000577115436528873, 0.20375,102.39298248291
0.0214976683333333, 249.858943356554, -0.00030935938564251, 0.2125,107.170539855957
0.0221645733333333, 249.864332882618, -0.000520916259359502, 0.21875,105.61792755127
0.0228312116666667, 249.86883453763, -0.000280806819813652, 0.225,105.61792755127
0.0234982033333333, 249.87322075975, -0.000499032358553995, 0.23,111.26522064209
0.0241643083333333, 249.878407721839, -0.000572603663137472, 0.23875,103.515403747559
0.0248312233333333, 249.88313607049, -0.000898985769302758, 0.245,107.337814331055
0.0254977366666667, 249.887899734969, -0.000698427843126471, 0.25125,102.33309173584
0.0261652216666667, 249.892556041289, -0.000735113000451309, 0.2575,102.33309173584
0.0268310533333333, 249.897886064294, -0.000675060516852346, 0.26375,105.475296020508
0.02749768, 249.90254846581, -0.000841841639610556, 0.27125,106.679000854492
0.028164435, 249.907484068607, -0.000884135015278119, 0.2775,105.084350585938
0.028831035, 249.912120362575, -0.000733212595934824, 0.28375,125.950958251953
0.0294977816666667, 249.917468592754, -0.000863838034767562, 0.29125,125.950958251953
0.0301651116666667, 249.922464376738, -0.0011150304176207, 0.2975,104.360290527344
0.0308324716666667, 249.927885404481, -0.00107035066184498, 0.30375,100.759216308594
0.03149798, 249.932968089614, -0.0011297911762024, 0.31125,104.961868286133
0.03216432, 249.938507451195, -0.00159375987152492, 0.3175,103.33177947998
0.0328310883333333, 249.943468911925, -0.00149596178381421, 0.32375,103.33177947998
0.0334982816666667, 249.948856434871, -0.00175386932936846, 0.33,106.55632019043
0.034164725, 249.953763436104, -0.00160373137063685, 0.3375,102.502334594727
0.0348310116666667, 249.959138094429, -0.00154606676707044, 0.34375,103.882446289063
0.03549774, 249.963842907552, -0.00108700432532115, 0.35,104.274070739746
0.03616438, 249.968930346901, -0.00096272506776506, 0.3575,104.274070739746
0.036831175, 249.973690052836, -0.000208357458875099, 0.36375,103.237617492676
0.0374979616666667, 249.979606963326, -0.00022045885102223, 0.37,103.105911254883
0.03816437, 249.984888156517, -0.000133121237927703, 0.3775,103.574645996094
0.0388311533333333, 249.990226234968, -0.000339761358600651, 0.3825,107.051826477051
0.0394982433333333, 249.995533546779, -0.000541706715105001, 0.39,107.051826477051
0.0401646133333333, 250.00125105137, -0.00117869471984158, 0.3975,105.808731079102
0.04083107, 250.005919141286, -0.00117084861397039, 0.40375,106.505653381348
0.0414980433333333, 250.011129227341, -0.00108619286611271, 0.40875,102.985374450684
0.042164345, 250.015867797, -0.000948960259157158, 0.41625,101.965423583984
0.042831105, 250.021138048142, -0.000887149863817511, 0.4225,101.965423583984
0.0434985616666667, 250.025970095714, -0.000637713892738146, 0.42875,104.141380310059
0.0441647683333333, 250.030782039403, -0.000664355554558443, 0.43625,112.863639831543
0.0448310716666667, 250.035684869767, -0.000570776754938, 0.4425,84.5597305297852
0.045497755, 250.041110090166, -0.000561123239799559, 0.44875,120.148017883301
0.046164355, 250.046554458773, -0.000210094371631629, 0.455,120.148017883301
0.0468311233333333, 250.051430470251, -0.000129176436024495, 0.4625,101.914581298828
0.0474989333333333, 250.05707691454, -0.000227551994715466, 0.46875,103.305946350098
0.0481652716666667, 250.061866482337, -0.000102873757161843, 0.475,106.843818664551
0.048831075, 250.06626447306, -1.58256294983981E-05, 0.48125,110.110237121582
0.0494978883333333, 250.070765176058, -0.000209819885359562, 0.48875,110.110237121582
0.050165865, 250.075742879557, -0.00012338072711011, 0.495,106.232231140137
0.05083165, 250.079959653759, 0.000201645447160836, 0.50125,100.284034729004
0.051498295, 250.084984717837, -0.000149563411999248, 0.5075,102.440559387207
0.05216476, 250.090456995233, -0.000431480251642243, 0.51375,105.49356842041
0.0528310983333333, 250.095295929341, -0.000654121568590925, 0.52125,105.49356842041
0.05349771, 250.100059040735, -0.000781966147069923, 0.5275,103.929016113281
0.0541653433333333, 250.104569743251, -0.000802801600526266, 0.53375,106.479263305664
0.05483166, 250.109609667003, -0.000658055870938293, 0.54125,103.28670501709
0.0554978466666667, 250.113992500443, -0.000523065651348182, 0.5475,106.019798278809
0.0561646733333333, 250.118658421002, -0.000316617521062613, 0.55375,106.019798278809
0.0568310616666667, 250.123656096897, -0.000380794797535682, 0.56,105.088928222656
0.0574985016666667, 250.128793164484, -0.000478007914601587, 0.5675,100.929313659668
0.058164665, 250.133194176084, -0.000219720888109557, 0.57375,106.210098266602
0.05883115, 250.13846593802, -0.000386112030437903, 0.58,105.215759277344
0.0594984566666667, 250.14326504418, -0.00036768095620381, 0.5875,105.215759277344
0.0601651083333333, 250.147957565026, -1.4492196512615E-05, 0.5925,104.233177185059
0.060831215, 250.152810039869, -6.23922905347356E-05, 0.59875,103.153495788574
0.0614979633333333, 250.157620031044, -0.000335771558965346, 0.60625,102.144081115723
0.0621648533333333, 250.162033466629, -8.68965597403243E-05, 0.61375,124.373657226563
0.06283111, 250.166606852376, -8.12358440434866E-05, 0.62,124.373657226563
0.0634983916666667, 250.171004592506, -0.00021911641844752, 0.62625,104.68140411377
0.0641645866666667, 250.175724296759, -0.000150173881380152, 0.6325,103.038619995117
0.0648312433333333, 250.180167311238, -9.2761265156005E-05, 0.64,109.309410095215
0.0654977266666667, 250.184703043838, 2.2945923011438E-05, 0.64625,105.753356933594
0.0661651016666667, 250.189196526602, 1.66612386990828E-05, 0.6525,105.753356933594
0.0668312433333333, 250.194073138891, -4.30957597499302E-05, 0.66,104.629112243652
0.0674986766666667, 250.198534660857, 4.98132537302889E-06, 0.66625,107.286712646484
0.06816453, 250.203023177265, 0.000176292220594225, 0.6725,108.625
0.06883122, 250.207389212735, 0.000142521416895014, 0.67875,104.753860473633
0.0694979333333333, 250.211983321281, 4.05025411909069E-05, 0.68625,104.753860473633
0.070164415, 250.216026709176, 0.000260156008239455, 0.6925,104.873847961426
0.0708311266666667, 250.220464990918, 0.000557268584604855, 0.69875,106.220909118652
0.0714978183333333, 250.225111595714, 0.000235173263106719, 0.705,102.402778625488
0.0721644683333333, 250.229906284524, 0.000130142538690772, 0.7125,103.85188293457
0.072831045, 250.234297459007, 0.000408533055445339, 0.71875,103.85188293457
0.073498765, 250.239313792699, 2.22289591041726E-05, 0.725,103.987594604492
0.0741643433333333, 250.244572973993, -0.00040920937021317, 0.7325,110.774040222168
0.0748316216666667, 250.249320387509, -0.000166916040353603, 0.73875,99.9439163208008
0.0754977083333333, 250.25419548642, -0.000124492171241703, 0.745,109.663848876953
0.07616519, 250.259306841814, -0.000475312549938835, 0.75125,109.663848876953
0.0768311633333333, 250.264354177804, -0.00034351716988027, 0.7575,103.767837524414
0.0774984566666667, 250.268690029858, -0.00016478764726406, 0.765,103.341117858887
0.0781646066666667, 250.274084296072, -0.000650350757939749, 0.77125,128.248275756836
0.0788312316666667, 250.279234461028, -0.000612149176766913, 0.77875,112.323333740234
0.079498635, 250.284165802144, -0.000344177136723973, 0.78375,112.323333740234
0.080164395, 250.288559881723, -0.000205999577288095, 0.79,100.834533691406
0.0808311133333333, 250.293705533726, -0.00015496314080741, 0.79875,107.07430267334
0.0814983933333333, 250.298271609649, -7.24388034652405E-07, 0.805,100.525596618652
0.0821649333333333, 250.303758435893, 3.46198366398789E-05, 0.81125,105.824325561523
0.0828310566666667, 250.30887493814, -0.000180278869178924, 0.8175,105.824325561523
0.0834978466666667, 250.313279628653, -0.00018071084744957, 0.825,106.023162841797
0.0841646066666667, 250.317980883246, -5.37917224761601E-05, 0.83125,110.81729888916
0.0848318033333333, 250.323068982324, 0.000224925777840825, 0.8375,106.664436340332
0.0854982683333333, 250.327976136019, -6.14203392876294E-05, 0.84375,104.562683105469
0.08616438, 250.332886007273, 0.00020728966364673, 0.85125,104.562683105469
0.086831305, 250.337915286808, 9.03375380332957E-05, 0.8575,105.802421569824
0.087498525, 250.342892512943, -0.000157292523745735, 0.86375,104.272689819336
0.0881645783333333, 250.348376244461, -0.000327590969824699, 0.87125,101.72834777832
0.0888311083333333, 250.352848662206, -8.82134935151633E-05, 0.8775,106.199935913086
0.0894978533333333, 250.357190596835, -0.000177196523956368, 0.88375,106.199935913086
0.090164375, 250.362218513157, -7.5728120593273E-05, 0.89,107.243980407715
0.0908310333333333, 250.366992679901, -0.000269632380990241, 0.8975,104.055274963379
0.0914982783333333, 250.371503324609, 2.50045009122907E-06, 0.90375,106.602981567383
0.0921649766666667, 250.375647450227, -0.000133329727292231, 0.91,104.593284606934
0.09283118, 250.380910785737, -0.000255276602018677, 0.9175,104.593284606934
0.0934985266666667, 250.386522490963, -0.000263104708818288, 0.92375,108.545806884766
0.09416456, 250.391685594682, -5.3771541924351E-06, 0.93,105.550025939941
0.0948312883333333, 250.396114511519, -0.000268150455424774, 0.93625,128.831573486328
0.0954979833333333, 250.401497202512, -0.000171799794997012, 0.94375,99.7070693969727
0.0961652566666667, 250.406537818845, -0.000197781489973605, 0.95,99.7070693969727
0.0968311416666667, 250.41106831162, -0.000133268230391697, 0.9575,110.973152160645
0.0974979, 250.415379447787, -0.000194987130300237, 0.96375,106.561866760254
0.09816511, 250.420860201035, -1.03719032841935E-05, 0.97,99.2178115844727
0.0988317016666667, 250.424956453556, -5.35202360103917E-05, 0.97625,107.704132080078
0.0994977133333333, 250.430290467652, -0.000105569121654563, 0.98375,107.704132080078
0.10016522, 250.436019260898, -0.000253218705376088, 0.99,106.214202880859
0.100831133333333, 250.441575951891, -0.000205234615587385, 0.9975,107.666229248047
0.101497745, 250.446219295602, -0.000318111445874528, 1.00375,101.23908996582
0.10216463, 250.45234862368, -0.000107129043331508, 1.01,106.228622436523
0.102831125, 250.457027316794, 7.64422360873268E-05, 1.0175,106.228622436523
0.103498471666667, 250.461537629787, 6.79871607596296E-05, 1.0225,107.425811767578
0.104165363333333, 250.466252956393, -0.000190338863766885, 1.02875,104.327835083008
0.104831083333333, 250.4706306164, -5.85569830492036E-05, 1.03625,103.684432983398
0.105498388333333, 250.475618112639, -0.000427692941695107, 1.04375,104.316841125488
0.10616507, 250.479847517613, -0.00049517905195437, 1.05,104.316841125488
0.106831605, 250.484409025059, -0.000605707000222183, 1.05625,105.583595275879
0.107497698333333, 250.488792956001, -0.000370022338452345, 1.0625,100.895866394043
0.108164566666667, 250.493147880962, -0.000406116525477284, 1.06875,105.273109436035
0.108832911666667, 250.497736509307, -3.8372496890145E-05, 1.075,105.802436828613
0.109497738333333, 250.501853028113, -0.000174309168948744, 1.0825,105.802436828613
0.110165336666667, 250.506518047403, 0.00014305689007701, 1.09,103.558700561523
0.110831166666667, 250.511475725149, 1.98230799787734E-05, 1.09625,105.07608795166
0.111498301666667, 250.517446277866, -0.000108268986090525, 1.1025,122.542510986328
0.112165345, 250.521645630762, -0.000196077575511438, 1.10875,108.198280334473
0.112831675, 250.526977359943, -0.000123697211095435, 1.115,108.198280334473
0.113497785, 250.531747327469, -0.000353422672254696, 1.12125,99.5418395996094
0.114164925, 250.537512481384, -3.52991512777714E-05, 1.12875,108.278755187988
0.11483103, 250.540371384074, -6.75880294327682E-05, 1.13625,106.509727478027
0.115498243333333, 250.544216184426, -0.000124094691168569, 1.14125,101.402610778809
0.116164633333333, 250.548926578427, -0.000170026884054804, 1.14875,101.402610778809
0.116831431666667, 250.553631366915, -0.000103769212051842, 1.15625,107.57666015625
0.117497815, 250.557337891201, -0.000418252415864436, 1.1625,101.797958374023
0.118165301666667, 250.562185637477, -0.000456879975610306, 1.1675,107.818542480469
