"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
10,3598.75979011255,35987.5979011255,1506.69177253443,1.02386649953024,"Sic Stats (1)"
13,2595.89490451916,33746.6337587491,902.410369888756,1.73692674117825,"Sic Stats (10)"
3,2344.83005585696,7034.4901675709,2694.42665416426,6.30083133589136,"Sic Stats (100)"
13,3778.03189073433,49114.4145795463,5539.66999451288,4.36583330300963,"Sic Stats (101)"
12,5863.23432387129,70358.8118864555,5174.71967543379,2.01626053913193,"Sic Stats (102)"
10,2089.222600956,20892.22600956,1308.73395959858,1.72680941364377,"Sic Stats (103)"
22,2598.88517251019,57175.4737952241,1186.1930976478,1.29560824750317,"Sic Stats (104)"
9,5507.95931579903,49571.6338421913,1542.12919698393,1.89055910442935,"Sic Stats (105)"
14,4875.46275898329,68256.4786257661,1255.82343316019,1.73560514960778,"Sic Stats (106)"
14,3027.919686176,42390.875606464,1023.62738445306,3.67515750722426,"Sic Stats (107)"
4,3670.2958004923,14681.1832019692,3256.0208371134,5.25574226799119,"Sic Stats (108)"
10,4917.21397416197,49172.1397416197,836.047140665883,1.6918652553063,"Sic Stats (109)"
10,7865.79625094291,78657.9625094291,2141.18743746635,2.52647695348495,"Sic Stats (11)"
10,5027.8346122231,50278.346122231,1923.53263468405,2.49024001292741,"Sic Stats (110)"
5,6207.80825908778,31039.0412954389,2823.58340557216,2.62190426537439,"Sic Stats (111)"
10,1062.68921810367,10626.8921810367,1382.90213314274,1.29886473705949,"Sic Stats (112)"
15,1690.61342653112,25359.2013979668,1566.14972210403,1.87839960611343,"Sic Stats (113)"
11,4438.0960522658,48819.0565749238,2301.32365791211,0.995967284835744,"Sic Stats (114)"
9,1125.76847203948,10131.9162483553,1088.46279441361,1.34715495197146,"Sic Stats (115)"
6,8474.3967268246,50846.3803609476,3892.95611403163,3.47722283536078,"Sic Stats (116)"
9,12624.2652855131,113618.387569618,2571.19044284821,0.82572917853519,"Sic Stats (117)"
16,4059.6375443177,64954.2007090832,826.79759757088,0.918957925494488,"Sic Stats (118)"
14,3620.67449684451,50689.4429558232,1280.69391910317,2.76576438316027,"Sic Stats (119)"
13,38414.6668740746,499390.669362969,3683.4266960397,6.16921861819201,"Sic Stats (12)"
3,10753.8575943899,32261.5727831698,5943.01189126494,4.88034194637969,"Sic Stats (120)"
15,5782.91413108575,86743.7119662863,1448.66133160659,1.31808037148687,"Sic Stats (121)"
3,22193.0665083422,66579.1995250266,11472.3785200609,2.59552950936295,"Sic Stats (122)"
29,2464.19525177985,71461.6623016157,1073.39539447584,1.41284887965143,"Sic Stats (123)"
34,1619.16930797731,55051.7564712286,719.351607422967,1.58110227334905,"Sic Stats (124)"
9,1230.85834621409,11077.7251159268,1192.08657700836,1.47808600054393,"Sic Stats (125)"
2,3602.94067543432,7205.88135086863,4785.61609047338,3.13722821524739,"Sic Stats (126)"
11,2884.19350106767,31726.1285117444,2458.08250586171,2.32721690534296,"Sic Stats (127)"
2,130377.785572999,260755.571145998,104579.789479249,5.34158954346655,"Sic Stats (128)"
23,3703.17284725769,85172.9754869269,1967.9352241259,1.56862982058798,"Sic Stats (129)"
10,4954.28645366315,49542.8645366315,1071.84331401471,5.12372965566892,"Sic Stats (13)"
24,2309.86385743847,55436.7325785232,1051.1744399173,2.13406824539529,"Sic Stats (130)"
7,2680.04653213595,18760.3257249516,1243.0395392509,1.91230050007974,"Sic Stats (131)"
4,1560.82242100372,6243.28968401488,1832.73660557403,1.14130243856681,"Sic Stats (132)"
16,1654.57937435677,26473.2699897083,2049.06882290414,3.26368102646686,"Sic Stats (133)"
0,NA,0,NA,NA,"Sic Stats (134)"
17,5971.11882306292,101509.01999207,1362.13911545722,2.35022996816958,"Sic Stats (135)"
10,6962.66664739453,69626.6664739453,2043.25093694531,2.8681166702074,"Sic Stats (136)"
16,4811.69559515347,76987.1295224554,998.884407409321,2.07095876577821,"Sic Stats (137)"
3,1497.87527627922,4493.62582883766,1758.80809691724,4.50308142709789,"Sic Stats (138)"
17,1504.82119547748,25581.9603231172,898.209012860296,1.33492092598083,"Sic Stats (139)"
4,5355.16362771755,21420.6545108702,6311.31487283474,4.66873939568113,"Sic Stats (14)"
2,2588.98059786022,5177.96119572044,3184.55774629772,2.15470356507218,"Sic Stats (140)"
4,1417.79354224928,5671.1741689971,1162.65395484693,3.8820733349844,"Sic Stats (141)"
7,7404.66150332608,51832.6305232826,1221.93924816425,2.40069697684376,"Sic Stats (142)"
13,3323.23916939441,43202.1092021273,1138.9316648872,0.965475001040375,"Sic Stats (143)"
3,14328.758326348,42986.2749790441,6234.9142508272,5.86910197227672,"Sic Stats (144)"
5,2405.20506465261,12026.025323263,2767.78531367605,2.21120611564699,"Sic Stats (145)"
0,NA,0,NA,NA,"Sic Stats (146)"
3,15715.2115813868,47145.6347441605,4271.42349544934,2.11590421174961,"Sic Stats (147)"
9,20763.6890774686,186873.201697217,4499.01812477763,1.85105733578492,"Sic Stats (148)"
2,13378.1417269921,26756.2834539842,18487.5894808983,5.23667651275968,"Sic Stats (149)"
5,3618.70542665512,18093.5271332756,2035.25547548324,2.35571872551842,"Sic Stats (15)"
4,15217.6120012701,60870.4480050802,5518.66143974662,5.08899617704989,"Sic Stats (150)"
7,2153.94621547005,15077.6235082903,1818.97732596112,2.51412955251298,"Sic Stats (151)"
4,2510.74042951252,10042.9617180501,3152.4406553426,1.85037397321487,"Sic Stats (152)"
8,13303.9897956512,106431.91836521,2399.82376476744,4.21269803679509,"Sic Stats (153)"
8,3509.68389146615,28077.4711317292,4101.77442186165,5.36797775670013,"Sic Stats (154)"
12,5602.62894515695,67231.5473418834,12779.0423362702,0.798781607753172,"Sic Stats (155)"
13,7842.14350978836,101947.865627249,6125.2056341874,3.44958471350253,"Sic Stats (156)"
29,1576.57811192054,45720.7652456955,1039.80939306952,2.65207189882224,"Sic Stats (157)"
6,11066.357513082,66398.1450784918,2215.66875168874,1.90099425803711,"Sic Stats (158)"
7,8336.09307641686,58352.651534918,7064.38848657311,3.19205732970939,"Sic Stats (159)"
1,2329.27136588159,2329.27136588159,2329.27136588159,3.66645378403122,"Sic Stats (16)"
49,1422.53813662095,69704.3686944266,747.553756638486,1.46452593224131,"Sic Stats (160)"
9,2982.40432945891,26841.6389651302,1174.57004668981,3.16166128906446,"Sic Stats (161)"
15,1597.19589449444,23957.9384174166,788.1052532184,1.86809443339222,"Sic Stats (162)"
12,1508.28981804751,18099.4778165701,1240.39107028546,1.26355566525145,"Sic Stats (163)"
10,11818.4392066685,118184.392066685,903.709653445837,1.26962485371251,"Sic Stats (164)"
22,2247.90030450154,49453.8066990339,856.506483478818,1.12752392653825,"Sic Stats (165)"
8,7946.70814785566,63573.6651828453,3943.59489712323,1.40744755597042,"Sic Stats (166)"
4,7221.9457082485,28887.782832994,16223.1933278774,1.69705820437551,"Sic Stats (167)"
26,1246.77085166912,32416.042143397,949.451137783152,0.964310767331324,"Sic Stats (168)"
24,1245.21223104346,29885.093545043,947.860762639321,0.964324096554518,"Sic Stats (169)"
14,5437.02382573992,76118.3335603589,1816.32696120309,3.03328386492856,"Sic Stats (17)"
13,5790.44014986341,75275.7219482243,1068.60864445475,1.31125452744405,"Sic Stats (170)"
